account_id_a,account_id_b,shared_signal
ACCT_ebf6740d,ACCT_367df148,device
ACCT_ebf6740d,ACCT_4c21d479,device
ACCT_ebf6740d,ACCT_2643435e,device
ACCT_367df148,ACCT_4c21d479,device
ACCT_367df148,ACCT_2643435e,device
ACCT_4c21d479,ACCT_2643435e,device
ACCT_a427bc19,ACCT_34301746,card
ACCT_a427bc19,ACCT_e42a31e1,card
ACCT_a427bc19,ACCT_b6588e41,card
ACCT_a427bc19,ACCT_c4d670cb,card
ACCT_34301746,ACCT_e42a31e1,card
ACCT_34301746,ACCT_b6588e41,card
ACCT_34301746,ACCT_c4d670cb,card
ACCT_e42a31e1,ACCT_b6588e41,card
ACCT_e42a31e1,ACCT_c4d670cb,card
ACCT_b6588e41,ACCT_c4d670cb,card
ACCT_5377817c,ACCT_1770f0a6,address
ACCT_5377817c,ACCT_a45dfa5b,address
ACCT_1770f0a6,ACCT_a45dfa5b,address
