txn_id,card_fingerprint,device_id,ip_region,account_id,account_created_at,amount,timestamp,billing_region,status,decline_type,true_label
TXN00001,CARD_d7e805da,DEV_d1026706,Hyderabad,ACCT_30877432,2026-06-02 01:28:39,204.84,2026-07-15 11:59:39.000000,Hyderabad,approved,,False
TXN00003,CARD_846a32c3,DEV_d1026706,Hyderabad,ACCT_30877432,2026-06-02 01:28:39,6537.38,2026-06-29 00:59:39.000000,Hyderabad,approved,,False
TXN00005,CARD_3c8eb5bb,DEV_9b621792,Jaipur,ACCT_bb81e3c2,2025-11-26 09:27:33,5852.95,2026-01-02 03:15:33.000000,Jaipur,approved,,False
TXN00006,CARD_682575ec,DEV_9b621792,Jaipur,ACCT_bb81e3c2,2025-11-26 09:27:33,7961.44,2026-01-17 18:52:33.000000,Jaipur,approved,,False
TXN00007,CARD_3c8eb5bb,DEV_9b621792,Jaipur,ACCT_bb81e3c2,2025-11-26 09:27:33,1011.98,2026-01-10 01:55:33.000000,Jaipur,approved,,False
TXN00010,CARD_4f21345d,DEV_826a6fce,Pune,ACCT_87a171ac,2025-10-22 11:21:03,2676.91,2025-12-14 13:16:03.000000,Pune,approved,,False
TXN00011,CARD_8478dcb7,DEV_826a6fce,Pune,ACCT_87a171ac,2025-10-22 11:21:03,1753.18,2025-12-21 08:52:03.000000,Pune,approved,,False
TXN00012,CARD_8478dcb7,DEV_826a6fce,Pune,ACCT_87a171ac,2025-10-22 11:21:03,3807.73,2026-01-05 05:57:03.000000,Pune,approved,,False
TXN00013,CARD_53964b50,DEV_a39d5e08,Hyderabad,ACCT_2cce8038,2026-03-10 09:29:30,3476.86,2026-04-22 13:11:30.000000,Hyderabad,approved,,False
TXN00016,CARD_53964b50,DEV_a39d5e08,Hyderabad,ACCT_2cce8038,2026-03-10 09:29:30,4313.47,2026-04-26 15:41:30.000000,Hyderabad,approved,,False
TXN00017,CARD_7021721a,DEV_58d669cb,Ludhiana,ACCT_722f244f,2026-02-14 03:04:47,7389.96,2026-04-10 10:59:47.000000,Ludhiana,approved,,False
TXN00019,CARD_278f64f7,DEV_58d669cb,Ludhiana,ACCT_722f244f,2026-02-14 03:04:47,7414.62,2026-04-22 03:09:47.000000,Ludhiana,approved,,False
TXN00020,CARD_7021721a,DEV_58d669cb,Ludhiana,ACCT_722f244f,2026-02-14 03:04:47,3876.8,2026-04-01 16:35:47.000000,Ludhiana,approved,,False
TXN00023,CARD_72e31027,DEV_de131ca3,Delhi,ACCT_fd633dbd,2025-12-02 13:20:10,1780.72,2025-12-23 19:38:10.000000,Delhi,approved,,False
TXN00024,CARD_72e31027,DEV_de131ca3,Delhi,ACCT_fd633dbd,2025-12-02 13:20:10,534.61,2026-01-07 12:54:10.000000,Delhi,approved,,False
TXN00025,CARD_f5125227,DEV_c0c8e9df,Bangalore,ACCT_5dff6c15,2025-10-27 02:30:07,7359.13,2025-12-01 18:02:07.000000,Bangalore,declined,insufficient_funds,False
TXN00026,CARD_f5125227,DEV_c0c8e9df,Bangalore,ACCT_5dff6c15,2025-10-27 02:30:07,6818.17,2025-11-14 18:35:07.000000,Bangalore,approved,,False
TXN00027,CARD_69611a11,DEV_c0c8e9df,Bangalore,ACCT_5dff6c15,2025-10-27 02:30:07,6901.46,2025-12-02 05:13:07.000000,Bangalore,approved,,False
TXN00028,CARD_69611a11,DEV_c0c8e9df,Bangalore,ACCT_5dff6c15,2025-10-27 02:30:07,4652.41,2025-11-16 20:45:07.000000,Bangalore,approved,,False
TXN00029,CARD_20e32684,DEV_6a78c49e,Pune,ACCT_c3712da8,2025-12-28 18:40:34,4543.55,2026-03-05 16:17:34.000000,Pune,approved,,False
TXN00030,CARD_20e32684,DEV_6a78c49e,Pune,ACCT_c3712da8,2025-12-28 18:40:34,5374.32,2026-03-21 02:53:34.000000,Pune,approved,,False
TXN00031,CARD_b27b95e9,DEV_6a78c49e,Pune,ACCT_c3712da8,2025-12-28 18:40:34,1090.48,2026-02-27 03:05:34.000000,Pune,approved,,False
TXN00032,CARD_b27b95e9,DEV_6a78c49e,Pune,ACCT_c3712da8,2025-12-28 18:40:34,6027.32,2026-03-06 05:39:34.000000,Pune,approved,,False
TXN00033,CARD_2d810a48,DEV_896a68f8,Ghaziabad,ACCT_09348334,2025-09-16 17:10:16,632.42,2025-10-20 11:16:16.000000,Ghaziabad,approved,,False
TXN00034,CARD_2d810a48,DEV_896a68f8,Ghaziabad,ACCT_09348334,2025-09-16 17:10:16,7469.41,2025-10-17 01:18:16.000000,Ghaziabad,approved,,False
TXN00036,CARD_5ed03241,DEV_896a68f8,Ghaziabad,ACCT_09348334,2025-09-16 17:10:16,2455.01,2025-10-27 10:55:16.000000,Ghaziabad,approved,,False
TXN00037,CARD_5d05ad78,DEV_b673bd47,Ghaziabad,ACCT_b4d419b1,2025-10-30 02:19:02,7514.49,2026-01-23 23:25:02.000000,Ghaziabad,approved,,False
TXN00039,CARD_b97706ca,DEV_b673bd47,Ghaziabad,ACCT_b4d419b1,2025-10-30 02:19:02,4858.4,2025-12-29 10:37:02.000000,Ghaziabad,approved,,False
TXN00040,CARD_53c1f76e,DEV_b673bd47,Ghaziabad,ACCT_b4d419b1,2025-10-30 02:19:02,5092.19,2026-01-04 09:02:02.000000,Ghaziabad,approved,,False
TXN00041,CARD_dac946dc,DEV_85813dba,Pune,ACCT_828bca03,2026-02-13 11:10:36,5092.56,2026-04-28 12:15:36.000000,Pune,approved,,False
TXN00042,CARD_bd2aa399,DEV_85813dba,Pune,ACCT_828bca03,2026-02-13 11:10:36,6180.4,2026-04-01 11:31:36.000000,Pune,declined,timeout,False
TXN00043,CARD_bd2aa399,DEV_85813dba,Pune,ACCT_828bca03,2026-02-13 11:10:36,3562.59,2026-04-08 16:57:36.000000,Pune,approved,,False
TXN00044,CARD_3c681d06,DEV_85813dba,Pune,ACCT_828bca03,2026-02-13 11:10:36,939.4,2026-04-14 04:10:36.000000,Pune,approved,,False
TXN00045,CARD_fc7403d7,DEV_aeee6f52,Ludhiana,ACCT_59c0996d,2025-12-16 04:46:19,3466.8,2026-02-20 21:55:19.000000,Ludhiana,approved,,False
TXN00046,CARD_fc7403d7,DEV_aeee6f52,Ludhiana,ACCT_59c0996d,2025-12-16 04:46:19,7468.05,2026-02-11 16:43:19.000000,Ludhiana,approved,,False
TXN00047,CARD_17f2ed6c,DEV_aeee6f52,Ludhiana,ACCT_59c0996d,2025-12-16 04:46:19,5472.43,2026-03-02 15:59:19.000000,Ludhiana,approved,,False
TXN00048,CARD_17f2ed6c,DEV_aeee6f52,Ludhiana,ACCT_59c0996d,2025-12-16 04:46:19,7003.97,2026-02-13 22:42:19.000000,Ludhiana,approved,,False
TXN00052,CARD_78f78e29,DEV_aede5fe8,Mumbai,ACCT_5e173e4e,2026-06-15 22:45:31,3791.99,2026-08-11 00:39:31.000000,Mumbai,approved,,False
TXN00056,CARD_40c02d4e,DEV_d16dc0cf,Thane,ACCT_c462ddae,2025-08-30 06:38:47,7022.46,2025-10-22 06:45:47.000000,Thane,approved,,False
TXN00057,CARD_0474f36e,DEV_ac8d82f0,Jaipur,ACCT_518ca6ea,2026-06-14 21:06:11,3504.78,2026-07-11 00:44:11.000000,Jaipur,approved,,False
TXN00061,CARD_31bdb2a0,DEV_9cc62739,Kolkata,ACCT_8b535930,2026-05-20 17:26:51,2508.81,2026-08-05 02:58:51.000000,Kolkata,approved,,False
TXN00062,CARD_58fed8a7,DEV_9cc62739,Kolkata,ACCT_8b535930,2026-05-20 17:26:51,2400.46,2026-07-23 06:10:51.000000,Kolkata,approved,,False
TXN00063,CARD_df3dbe4d,DEV_9cc62739,Kolkata,ACCT_8b535930,2026-05-20 17:26:51,7525.89,2026-07-19 07:08:51.000000,Kolkata,declined,insufficient_funds,False
